               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10255,            0.026974,            0.041026,           0.0029418,             0.36389,            0.032147,            0.010805,            0.051528,            0.017149,            0.015989,              0.0748,              0.0028,              0.0028
                   1,            0.069579,            0.025341,            0.021444,              0.7988,             0.15556,             0.13361,             0.05612,            0.041738,             0.01231,           0.0084071,            0.048587,           0.0055871,           0.0055871
                   2,            0.063507,            0.020827,            0.015059,             0.80252,             0.18536,             0.14831,            0.055915,            0.042897,           0.0087938,           0.0079128,            0.022259,           0.0082594,           0.0082594
                   3,            0.061905,            0.018391,            0.016092,             0.84582,             0.18056,             0.19438,            0.076674,            0.040098,           0.0071704,           0.0083031,            0.009406,            0.009406,            0.009406
                   4,            0.054038,            0.018314,            0.013349,             0.85691,               0.225,             0.26942,            0.089564,            0.036232,           0.0058735,           0.0080053,            0.009406,            0.009406,            0.009406
                   5,            0.050691,             0.01728,              0.0104,             0.90925,             0.21389,             0.26458,             0.12001,            0.034647,           0.0056136,           0.0075894,            0.009208,            0.009208,            0.009208
                   6,             0.04488,            0.015491,            0.011754,             0.81623,             0.23333,             0.19579,            0.079677,            0.035972,           0.0056441,           0.0074597,             0.00901,             0.00901,             0.00901
                   7,            0.043788,            0.016115,            0.013941,             0.87203,             0.22778,             0.26487,            0.095943,            0.032707,           0.0052592,           0.0084491,            0.008812,            0.008812,            0.008812
                   8,            0.045472,            0.014575,            0.010851,             0.88732,             0.26111,             0.28481,             0.16374,            0.027678,           0.0052147,            0.011497,            0.008614,            0.008614,            0.008614
                   9,            0.042905,            0.014694,            0.011782,             0.89549,             0.23889,             0.31089,             0.13424,            0.029955,            0.005168,            0.010318,            0.008416,            0.008416,            0.008416
                  10,            0.039571,            0.013637,            0.011424,             0.90513,             0.26667,             0.32331,             0.21392,            0.025491,           0.0052371,            0.011319,            0.008218,            0.008218,            0.008218
